1997.04.06,00:00,1.63300,1.63600,1.61670,1.62430,10155
1997.04.13,00:00,1.62800,1.63570,1.61790,1.63400,8645
1997.04.20,00:00,1.63220,1.64040,1.61540,1.62380,9645
1997.04.27,00:00,1.62530,1.63460,1.60000,1.62300,12445
1997.05.04,00:00,1.62300,1.64200,1.60850,1.62350,17245
1997.05.11,00:00,1.62200,1.64980,1.61470,1.63700,11845
1997.05.18,00:00,1.63570,1.66080,1.62220,1.63590,12495
1997.05.25,00:00,1.63750,1.64550,1.62650,1.64150,9185
1997.06.01,00:00,1.64080,1.64380,1.61880,1.63290,12205
1997.06.08,00:00,1.63170,1.64420,1.62500,1.63490,9525
1997.06.15,00:00,1.63450,1.65850,1.63200,1.65720,7615
1997.06.22,00:00,1.65680,1.67350,1.65220,1.66350,10775
1997.06.29,00:00,1.66370,1.69380,1.64900,1.68700,12755
1997.07.06,00:00,1.68870,1.70020,1.68000,1.68830,11565
1997.07.13,00:00,1.68770,1.69400,1.66380,1.67850,13415
1997.07.20,00:00,1.67810,1.68760,1.65970,1.66240,11125
1997.07.27,00:00,1.66150,1.66330,1.62300,1.63190,12545
1997.08.03,00:00,1.63110,1.63530,1.56630,1.58950,19865
1997.08.10,00:00,1.58600,1.61260,1.57110,1.61030,11975
1997.08.17,00:00,1.61000,1.61550,1.58430,1.60940,13915
1997.08.24,00:00,1.60880,1.62560,1.60080,1.62330,12285
1997.08.31,00:00,1.61400,1.61660,1.57670,1.59350,12695
1997.09.07,00:00,1.58950,1.61190,1.57900,1.60800,11005
1997.09.14,00:00,1.60160,1.61830,1.58690,1.61160,13205
1997.09.21,00:00,1.61050,1.63050,1.59930,1.60800,11155
1997.09.28,00:00,1.61300,1.62300,1.59850,1.61700,11895
1997.10.05,00:00,1.61450,1.63100,1.61020,1.62370,9315
1997.10.12,00:00,1.62180,1.62700,1.61180,1.61730,8545
1997.10.19,00:00,1.62880,1.64040,1.62550,1.63300,9815
1997.10.26,00:00,1.63430,1.68820,1.63300,1.67480,16235
1997.11.02,00:00,1.67800,1.69700,1.67030,1.68900,13145
1997.11.09,00:00,1.68500,1.71550,1.67820,1.69350,12685
1997.11.16,00:00,1.68980,1.69940,1.68340,1.69400,10185
1997.11.23,00:00,1.68950,1.69660,1.66690,1.68900,10395
1997.11.30,00:00,1.68960,1.69070,1.64940,1.66000,10705
1997.12.07,00:00,1.65830,1.66580,1.64270,1.65150,10935
1997.12.14,00:00,1.64750,1.65070,1.62900,1.63350,2941
1997.12.28,00:00,1.64740,1.64900,1.63450,1.64550,272
1998.01.04,00:00,1.64090,1.64750,1.60920,1.61330,1398
1998.01.11,00:00,1.61200,1.64020,1.60900,1.62890,1082
1998.01.18,00:00,1.63500,1.67510,1.61940,1.67280,1326
1998.01.25,00:00,1.67550,1.68700,1.63000,1.63460,1618
1998.02.01,00:00,1.63080,1.66090,1.62400,1.64110,1232
1998.02.08,00:00,1.64240,1.64580,1.62050,1.64170,1215
1998.02.15,00:00,1.64170,1.64500,1.62670,1.63750,1045
1998.02.22,00:00,1.63630,1.65250,1.63100,1.64420,1115
1998.03.01,00:00,1.64480,1.66300,1.62790,1.63920,1257
1998.03.08,00:00,1.63750,1.67520,1.63210,1.67170,1044
1998.03.15,00:00,1.67230,1.67830,1.65960,1.66800,837
1998.03.22,00:00,1.66800,1.69000,1.66470,1.68320,941
1998.03.29,00:00,1.68330,1.68630,1.65500,1.65920,1126
1998.04.05,00:00,1.65800,1.68100,1.65460,1.67350,992
1998.04.12,00:00,1.67320,1.69820,1.66420,1.68430,1154
1998.04.19,00:00,1.68420,1.68700,1.65800,1.66770,1135
1998.04.26,00:00,1.66780,1.67820,1.65820,1.66600,38845
1998.05.03,00:00,1.66250,1.67140,1.63300,1.63960,31612
1998.05.10,00:00,1.63610,1.64470,1.61940,1.62620,31048
1998.05.17,00:00,1.62210,1.63620,1.61520,1.63100,26310
1998.05.24,00:00,1.63130,1.64550,1.62070,1.63100,30074
1998.05.31,00:00,1.63250,1.65100,1.62700,1.63520,46315
1998.06.07,00:00,1.63400,1.64000,1.62500,1.63240,68722
1998.06.14,00:00,1.62980,1.67930,1.62600,1.67480,65761
1998.06.21,00:00,1.67200,1.67770,1.65700,1.66190,60274
1998.06.28,00:00,1.65990,1.67310,1.64460,1.64750,53140
1998.07.05,00:00,1.64140,1.65000,1.62670,1.63290,46986
1998.07.12,00:00,1.63050,1.64700,1.62880,1.64500,43786
1998.07.19,00:00,1.64550,1.66230,1.63700,1.65700,41874
1998.07.26,00:00,1.65700,1.66240,1.62950,1.63270,31136
1998.08.02,00:00,1.63400,1.64210,1.62120,1.62930,42438
